初	chū - at first; (at the) beginning; first; junior
chū	初 - at first; (at the) beginning; first; junior
ch_ (初)	初 - chū
冷天	lěng tiān - cold weather; cold season
lěng tiān	冷天 - cold weather; cold season
l_ng ti_n (冷天)	冷天 - lěng tiān
帮	bāng - to help; to assist; to support; for sb (i.e. as a help)
bāng	帮 - to help; to assist; to support; for sb (i.e. as a help)
b_ng (帮)	帮 - bāng
别人	bié ren - other people; others; other person
bié ren	别人 - other people; others; other person
bi_ ren (别人)	别人 - bié ren
别	bié - to leave; to depart; to separate; to distinguish
bié	别 - to leave; to depart; to separate; to distinguish
bi_ (别)	别 - bié
次	cì - next in sequence; second; the second (day, time etc); secondary
cì	次 - next in sequence; second; the second (day, time etc); secondary
c_ (次)	次 - cì
参加	cān jiā - to participate; to take part; to join
cān jiā	参加 - to participate; to take part; to join
c_n ji_ (参加)	参加 - cān jiā
参	cān - to take part in; to participate; to join; to attend
cān	参 - to take part in; to participate; to join; to attend
c_n (参)	参 - cān
大学	dà xué - university; college; CL:所[suo3]
dà xué	大学 - university; college; CL:所[suo3]
d_ xu_ (大学)	大学 - dà xué
大	dà - big; huge; large; major
dà	大 - big; huge; large; major
d_ (大)	大 - dà
考试	kǎo shì - to take an exam; exam; CL:次[ci4]
kǎo shì	考试 - to take an exam; exam; CL:次[ci4]
k_o sh_ (考试)	考试 - kǎo shì
考	kǎo - to check; to verify; to test; to examine
kǎo	考 - to check; to verify; to test; to examine
k_o (考)	考 - kǎo
冷	lěng - cold
lěng	冷 - cold
l_ng (冷)	冷 - lěng
非常	fēi cháng - unusual; extraordinary; extreme; very
fēi cháng	非常 - unusual; extraordinary; extreme; very
f_i ch_ng (非常)	非常 - fēi cháng
非	fēi - to not be; not; wrong; incorrect
fēi	非 - to not be; not; wrong; incorrect
f_i (非)	非 - fēi
难	nán - difficult (to...); problem; difficulty; difficult
nán	难 - difficult (to...); problem; difficulty; difficult
n_n (难)	难 - nán
得很	de hěn - very (much, good etc)
de hěn	得很 - very (much, good etc)
de h_n (得很)	得很 - de hěn
得了	dé le - all right!; that's enough!
dé le	得了 - all right!; that's enough!
d_ le (得了)	得了 - dé le
满分	mǎn fēn - full marks
mǎn fēn	满分 - full marks
m_n f_n (满分)	满分 - mǎn fēn
满	mǎn - to fill; full; filled; packed
mǎn	满 - to fill; full; filled; packed
m_n (满)	满 - mǎn
听说	tīng shuō - to hear (sth said); one hears (that); hearsay; listening and speaking
tīng shuō	听说 - to hear (sth said); one hears (that); hearsay; listening and speaking
t_ng shu_ (听说)	听说 - tīng shuō
全世界	quán shì jiè - worldwide; entire world
quán shì jiè	全世界 - worldwide; entire world
qu_n sh_ ji_ (全世界)	全世界 - quán shì jiè
只有	zhǐ yǒu - only
zhǐ yǒu	只有 - only
zh_ y_u (只有)	只有 - zhǐ yǒu
肚	dù - belly
dù	肚 - belly
d_ (肚)	肚 - dù
只	zhǐ - but; only
zhǐ	只 - but; only
zh_ (只)	只 - zhǐ
个	gè - individual; this; that; size
gè	个 - individual; this; that; size
g_ (个)	个 - gè
给	gěi - to; for; for the benefit of; to give
gěi	给 - to; for; for the benefit of; to give
g_i (给)	给 - gěi
高	gāo - high; tall; above average; loud
gāo	高 - high; tall; above average; loud
g_o (高)	高 - gāo
奖学金	jiǎng xué jīn - scholarship; CL:個|个[ge4]
jiǎng xué jīn	奖学金 - scholarship; CL:個|个[ge4]
ji_ng xu_ j_n (奖学金)	奖学金 - jiǎng xué jīn
奖	jiǎng - prize; award; encouragement; CL:個|个[ge4]
jiǎng	奖 - prize; award; encouragement; CL:個|个[ge4]
ji_ng (奖)	奖 - jiǎng
感到	gǎn dào - to feel; to sense; to have the feeling that; to think that
gǎn dào	感到 - to feel; to sense; to have the feeling that; to think that
g_n d_o (感到)	感到 - gǎn dào
感	gǎn - to feel; to move; to touch; to affect
gǎn	感 - to feel; to move; to touch; to affect
g_n (感)	感 - gǎn
下星期	xià xīng qī - next week
xià xīng qī	下星期 - next week
xi_ x_ng q_ (下星期)	下星期 - xià xīng qī
下	xià - down; downwards; below; lower
xià	下 - down; downwards; below; lower
xi_ (下)	下 - xià
痛	tòng - ache; pain; sorrow; deeply
tòng	痛 - ache; pain; sorrow; deeply
t_ng (痛)	痛 - tòng
留学	liú xué - to study abroad
liú xué	留学 - to study abroad
li_ xu_ (留学)	留学 - liú xué
留	liú - to leave (a message etc); to retain; to stay; to remain
liú	留 - to leave (a message etc); to retain; to stay; to remain
li_ (留)	留 - liú
送行	sòng xíng - to see someone off; to throw someone a send-off party
sòng xíng	送行 - to see someone off; to throw someone a send-off party
s_ng x_ng (送行)	送行 - sòng xíng
送	sòng - to deliver; to carry; to give (as a present); to present (with)
sòng	送 - to deliver; to carry; to give (as a present); to present (with)
s_ng (送)	送 - sòng
城	chéng - city walls; city; town; CL:座[zuo4],道[dao4],個|个[ge4]
chéng	城 - city walls; city; town; CL:座[zuo4],道[dao4],個|个[ge4]
ch_ng (城)	城 - chéng
东边	dōng bian - east; east side; eastern part; to the east of
dōng bian	东边 - east; east side; eastern part; to the east of
d_ng bian (东边)	东边 - dōng bian
东	dōng - east; host (i.e. sitting on east side of guest); landlord
dōng	东 - east; host (i.e. sitting on east side of guest); landlord
d_ng (东)	东 - dōng
离	lí - mythical beast (archaic)
lí	离 - mythical beast (archaic)
l_ (离)	离 - lí
离	lí - to leave; to part from; to be away from; (in giving distances) from
lí	离 - to leave; to part from; to be away from; (in giving distances) from
l_ (离)	离 - lí
比较	bǐ jiào - to compare; to contrast; comparatively; relatively
